,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
22-09-2021 14:52:55.7697059598983711,-0.48828125,-0.64746094,0.61621094,-1.3125,0.28125,0.71875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9004082173,1,3
22-09-2021 14:52:55.7717059600602617,-0.06933594,0.9638672,-0.056640625,0.96875,-0.1875,0.28125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9004082173,1,3
22-09-2021 14:52:55.7727059601833398,-0.98828125,-0.21289062,-0.109375,-0.0625,1.9375,0.46875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9004082173,1,3
22-09-2021 14:52:55.7777059606935377,-0.96875,0.22851562,-0.11425781,-0.875,-0.9375,-1.0625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9004082173,1,3
22-09-2021 14:52:55.7827059612126627,-0.484375,-0.6435547,0.61621094,-2.21875,0.15625,1.21875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9004082173,1,3
22-09-2021 14:52:55.7837059612450117,-0.0703125,0.9794922,-0.06738281,1.09375,-0.375,0.15625,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9004082173,1,3
22-09-2021 14:52:55.7887059617753190,-0.96777344,0.24121094,-0.11621094,-0.75,-1.0,-1.0,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9004082173,1,3
22-09-2021 14:52:55.7957059624466263,-0.9746094,-0.21875,-0.10644531,0.0,1.8125,0.65625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9004082173,1,3
22-09-2021 14:52:55.8007059630204961,-0.9550781,0.22851562,-0.11035156,-0.75,-0.9375,-1.0,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9004082173,1,3
22-09-2021 14:52:55.8037059632452825,-0.48535156,-0.64746094,0.6201172,-2.6875,0.0,0.71875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9004082173,1,3
22-09-2021 14:52:55.8047059633781315,-0.07519531,0.97265625,-0.061523438,1.3125,-0.25,0.21875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9004082173,1,3
22-09-2021 14:52:55.8057059634662877,-0.9736328,-0.21777344,-0.12011719,0.0,2.0,0.46875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9004082173,1,3
22-09-2021 14:52:55.8157059645345065,-0.49023438,-0.64746094,0.6230469,-3.0,0.03125,0.78125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9004082173,1,3
