,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,patient,session,task
22-09-2021 15:28:50.7198005002286996,-0.36523438,0.83691406,0.4111328,-0.625,0.0,0.65625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001981881,1,3
22-09-2021 15:28:50.7318005014265798,-0.3623047,0.83691406,0.41992188,-0.5,0.59375,0.40625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001981881,1,3
22-09-2021 15:28:50.7388005021425694,-0.99121094,0.13378906,-0.08886719,-0.25,1.15625,-0.4375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,3
22-09-2021 15:28:50.7478005030050329,-0.35351562,0.8408203,0.40820312,-1.1875,1.28125,0.21875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001981881,1,3
22-09-2021 15:28:50.7538005035497673,-0.9824219,0.12207031,-0.083984375,-0.375,1.15625,-0.4375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,3
22-09-2021 15:28:50.7568005039426631,-0.9873047,-0.040039062,-0.09277344,-0.125,-0.3125,-0.1875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001981881,1,3
22-09-2021 15:28:50.7618005044428715,-0.35742188,0.84277344,0.41503906,-2.03125,1.5,-0.125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001981881,1,3
22-09-2021 15:28:50.7688005050521579,-0.9873047,0.13574219,-0.080078125,-0.25,1.03125,-0.375,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,3
22-09-2021 15:28:50.7698005051520850,0.0390625,0.8564453,-0.43652344,-0.0625,1.3125,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001981881,1,3
22-09-2021 15:28:50.7708005052622048,0.032226562,0.8642578,-0.44726562,-0.125,1.09375,0.21875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001981881,1,3
22-09-2021 15:28:50.7728005054435798,-0.99609375,-0.038085938,-0.08886719,-0.0625,-0.1875,-0.3125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001981881,1,3
22-09-2021 15:28:50.7778005059553402,-0.36816406,0.83496094,0.4091797,-2.53125,1.6875,-0.5625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,9001981881,1,3
22-09-2021 15:28:50.7858005067867517,-0.9921875,0.13671875,-0.078125,-0.5,1.15625,-0.5,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,3
22-09-2021 15:28:50.7858005068307673,0.0390625,0.859375,-0.45410156,0.09375,0.84375,0.34375,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001981881,1,3
22-09-2021 15:28:50.7868005068948350,-0.99316406,-0.040039062,-0.11328125,-0.0625,-0.3125,-0.3125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001981881,1,3
22-09-2021 15:28:50.7988005080891631,-0.99121094,0.13183594,-0.08691406,-0.4375,1.09375,-0.125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,3
22-09-2021 15:28:50.8018005083673038,0.036132812,0.8613281,-0.43847656,0.15625,0.71875,0.28125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001981881,1,3
22-09-2021 15:28:50.8138005096342829,-0.9902344,0.13671875,-0.08496094,-0.4375,1.09375,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,3
22-09-2021 15:28:50.8158005097582829,0.028320312,0.8623047,-0.4580078,0.09375,0.65625,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001981881,1,3
22-09-2021 15:28:50.8188005101217777,-1.0068359,-0.048828125,-0.10058594,-0.125,-0.375,-0.4375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,9001981881,1,3
22-09-2021 15:28:50.8288005110492152,-0.984375,0.12792969,-0.087890625,-0.1875,0.96875,0.15625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,9001981881,1,3
22-09-2021 15:28:50.8288005111139027,0.0126953125,0.8691406,-0.4453125,-0.125,0.59375,-0.1875,0.0,0.0,0.0,C9:CE:E1:82:70:C3,9001981881,1,3
